uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::dual::dual-00142,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00143,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00144,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00145,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00147,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00148,dual,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::dual::dual-00149,dual,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00150,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00151,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00152,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00154,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00155,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00159,dual,1.0,1.0,1.0,0+1,1.0,1.0,0.8,0.0,1.0
